date,code,name,market,kind,open,high,low,close,volume,amount,pct_change,turnover,ma5,bias5,ma10,bias10,ma20,bias20,ma60,bias60,k,d,j,kdj_cross,dif,dea,macd_hist,rsi14,atr14,volume_ratio20,trend,signal,nav_date,nav,premium_rate
2026-09-15,002312,川发龙蟒,SZ,STOCK,8.87,8.91,8.48,8.51,456041.0,,-3.7330316742081426,,9.064000000000002,-6.112091791703467,8.864,-3.9936823104693264,8.631,-1.4019232997335207,8.627,-1.3562072562884109,34.104916415138966,51.422421825893416,-0.5300944063699404,,0.1268423447124416,0.11037840742991364,0.032927874565055915,46.351571611723706,0.3642857142857139,1.2190379501046649,震荡/过渡,中性观察,,,
2026-09-15,563360,A500ETF华泰,SH,ETF,1.243,1.254,1.238,1.239,32137269.0,,-0.6415396952686447,,1.2564,-1.3849092645654149,1.2632999999999999,-1.923533602469707,1.274,-2.7472527472527375,1.3092166666666667,-5.3632579277685055,19.637120837451025,27.290962242780704,4.329438026791671,,-0.013495959022162385,-0.010594972389694,-0.005801973264936769,34.16567201909518,0.0172857142857143,0.9939888488572993,空头趋势,中性观察,,,
2026-09-15,002326,永太科技,SZ,STOCK,17.06,17.28,16.97,17.02,108877.0,,-0.4678362573099504,,17.212,-1.1155008133860056,17.519000000000002,-2.8483360922427203,18.4905,-7.952732484248671,19.75583333333333,-13.848230480448809,20.128738914776388,15.177384254220645,30.031448235887872,,-0.677718058628507,-0.5411206104702695,-0.273194896316475,31.905608126064934,0.48999999999999944,0.47235940217643596,空头趋势,弱势，暂不加仓,,,
2026-09-15,513310,中韩半导体ETF华泰柏瑞,SH,ETF,4.678,4.785,4.643,4.655,24080744.0,,0.5182465990066998,,4.7484,-1.9669783506023109,4.7406999999999995,-1.8077499103507755,4.7551499999999995,-2.106137556123344,5.161816666666667,-9.818571626914297,25.407593520423855,36.69721097079568,2.828358619680202,,-0.06668747702297129,-0.07223307488518096,0.011091195724419356,43.17126084555606,0.13592857142857154,1.2829695061262911,空头趋势,中性观察,2026-09-14,4.2498,9.534566332533313
2026-09-15,300153,科泰电源,SZ,STOCK,24.69,25.14,24.46,24.5,97964.0,,-1.4084507042253613,,25.232,-2.9010779961953004,24.375999999999998,0.5086970790942003,23.0735,6.182417058530354,22.1025,10.84718923198733,61.914751180912916,67.71592446818198,50.3124046063748,,0.8775572244456775,0.6808866520934319,0.3933411447044912,57.05686304796576,1.2550000000000001,0.7013991611620012,多头趋势,中性观察,,,
2026-09-15,518880,黄金ETF华安,SH,ETF,8.849,8.879,8.814,8.829,4113994.0,,-0.5183098591549196,,8.9542,-1.3982265305666597,9.0013,-1.9141679535178202,9.16985,-3.7170727983554808,8.772533333333334,0.6436757151108141,20.66202505426793,30.391424458737788,1.20322624532821,,-0.0039572626644996944,0.05843559162045156,-0.12478570856990251,41.921732069986795,0.14621428571428538,0.692981437048516,震荡/过渡,中性观察,,,
2026-09-15,301330,熵基科技,SZ,STOCK,25.2,26.24,24.62,24.69,35727.0,,-2.5651144435674733,,24.682000000000002,0.032412284255722845,25.177,-1.9343051197521444,24.817500000000003,-0.513750377757638,24.237166666666663,1.8683426968223893,34.52247592470535,37.02257449871781,29.522278776680423,,0.16606756991551563,0.2561341238328795,-0.1801331078347277,49.31341666834865,0.9242857142857132,1.0960564119162044,震荡/过渡,中性观察,,,
2026-09-15,588710,科创半导体设备ETF华泰柏瑞,SH,ETF,0.91,0.97,0.91,0.953,14074524.0,,3.8126361655773433,,0.9366,1.7510143070681217,0.9475,0.5804749340369231,0.9921,-3.9411349662332396,1.0823,-11.946780005543756,32.7558211714849,23.697059798696998,50.873343917060694,,-0.030998016367628,-0.025942479666425166,-0.01011107340240567,44.203798495532666,0.039999999999999994,1.359965005926556,空头趋势,中性观察,,,
