group,codes,latest_date,return_5d_pct,return_20d_pct,return_60d_pct,volatility20_pct,drawdown60_pct,relative_20d_vs_a500_pct,status
半导体代理组合,"513310,588710",2026-09-24,1.2255613927645292,-2.7394843623482434,-18.827474182934743,33.17061698445304,-24.958121149393563,1.4926412173722703,中性观察
A500代理,563360,2026-09-24,-0.48115477145149743,-4.169884169884142,-9.150805270863827,12.356838832440843,-9.811046511627886,,基准代理
黄金代理,518880,2026-09-24,-0.7678410117434642,-6.9659114969299,3.693215339233058,21.459385963196066,-8.113759933082399,-2.9176916909945616,防守资产观察
